seed,final_error,steps,stop_reason,loop_action,max_repeat,zero_improvement_steps,negative_improvement_steps,trajectory_mae
1,0.08986139297485352,32,max_steps,909,19,19,0,0.005231820803601295
2,0.02050979621708393,32,max_steps,628,5,5,1,0.0024197867314796895
3,0.05663369223475456,32,max_steps,4,6,6,0,0.0018617209570948035
4,0.07473409175872803,32,max_steps,815,17,17,1,0.00347706644970458
5,0.1018548384308815,32,max_steps,269,15,15,0,0.005499317747307941
6,0.06528260558843613,28,policy_stop,,1,0,1,0.0019531448072354707
7,0.05147939547896385,16,policy_stop,,1,0,0,0.001356803986709565
8,0.08726713806390762,32,max_steps,541,14,14,2,0.0047203057911247015
9,0.044702816754579544,32,max_steps,62,17,17,1,0.002379246274358593
10,0.1319972425699234,32,max_steps,46,23,23,0,0.007618804753292352
