step,decision,stroke_index,teacher_stroke_index,action_match,predicted_improvement,actual_improvement,teacher_best_improvement,action_regret,prediction_error,prediction_absolute_error,error_before,error_after,repeated_action_count,premature_stop
0,stroke,364,252,False,0.02219993621110916,0.022277846932411194,0.022657454013824463,0.00037960708141326904,-7.791072130203247e-05,7.791072130203247e-05,0.19064415991306305,0.16836631298065186,1,
1,stroke,748,764,False,0.0210854634642601,0.02227783203125,0.02265743911266327,0.00037960708141326904,-0.0011923685669898987,0.0011923685669898987,0.16836631298065186,0.14608848094940186,1,
2,stroke,124,124,True,0.014670096337795258,0.016277119517326355,0.016277119517326355,0.0,-0.0016070231795310974,0.0016070231795310974,0.14608848094940186,0.1298113614320755,1,
3,stroke,1020,1020,True,0.01220581866800785,0.016277126967906952,0.016277126967906952,0.0,-0.004071308299899101,0.004071308299899101,0.1298113614320755,0.11353423446416855,1,
4,stroke,207,207,True,0.009334312751889229,0.010520093142986298,0.010520093142986298,0.0,-0.0011857803910970688,0.0011857803910970688,0.11353423446416855,0.10301414132118225,1,
5,stroke,847,847,True,0.012491170316934586,0.010520093142986298,0.010520093142986298,0.0,0.001971077173948288,0.001971077173948288,0.10301414132118225,0.09249404817819595,1,
6,stroke,447,463,False,0.008753013797104359,0.008832454681396484,0.00893951952457428,0.00010706484317779541,-7.94408842921257e-05,7.94408842921257e-05,0.09249404817819595,0.08366159349679947,1,
7,stroke,815,508,False,0.0066426414996385574,0.005332663655281067,0.008331701159477234,0.002999037504196167,0.0013099778443574905,0.0013099778443574905,0.08366159349679947,0.0783289298415184,1,
8,stroke,636,508,False,0.005877774674445391,0.008331701159477234,0.008331701159477234,0.0,-0.002453926485031843,0.002453926485031843,0.0783289298415184,0.06999722868204117,1,
9,stroke,988,604,False,0.004663965664803982,0.004820466041564941,0.005192652344703674,0.0003721863031387329,-0.00015650037676095963,0.00015650037676095963,0.06999722868204117,0.06517676264047623,1,
10,stroke,591,604,False,0.004228559322655201,0.003661118447780609,0.005192648619413376,0.0015315301716327667,0.0005674408748745918,0.0005674408748745918,0.06517676264047623,0.06151564419269562,1,
11,stroke,15,92,False,0.003957780078053474,0.0008543916046619415,0.004820466041564941,0.003966074436903,0.003103388473391533,0.003103388473391533,0.06151564419269562,0.060661252588033676,1,
12,stroke,47,92,False,0.00337504455819726,0.0040954649448394775,0.004820466041564941,0.0007250010967254639,-0.0007204203866422176,0.0007204203866422176,0.060661252588033676,0.0565657876431942,1,
13,stroke,95,92,False,0.0035359524190425873,0.003709271550178528,0.004820466041564941,0.0011111944913864136,-0.00017331913113594055,0.00017331913113594055,0.0565657876431942,0.05285651609301567,1,
14,stroke,271,380,False,0.0034481454640626907,0.00085439532995224,0.004295721650123596,0.003441326320171356,0.0025937501341104507,0.0025937501341104507,0.05285651609301567,0.05200212076306343,1,
15,stroke,607,380,False,0.0009679561480879784,0.0005227252840995789,0.004295721650123596,0.0037729963660240173,0.0004452308639883995,0.0004452308639883995,0.05200212076306343,0.05147939547896385,1,
16,stop,,380,,-0.00021757278591394424,,0.004295721650123596,,,,0.05147939547896385,0.05147939547896385,0,True
